Truck Number,Claim Number,Scale Claim Cost,Scale Labor Cost
Truck 10083,Claim 607,Very Low,Very Low
Truck 10084,Claim 608,Very Low,Very Low
Truck 10062,Claim 609,Very Low,Very Low
Truck 10076,Claim 610,Very Low,Very Low
Truck 9929,Claim 611,Very Low,Very Low
Truck 10061,Claim 612,Very Low,Very Low
Truck 10070,Claim 613,Very Low,Very Low
Truck 10069,Claim 614,Very Low,Very Low
Truck 10071,Claim 615,Very Low,Very Low
Truck 9985,Claim 616,Very Low,Very Low
Truck 9989,Claim 617,Very Low,Very Low
Truck 9975,Claim 618,Very Low,Very Low
Truck 9986,Claim 619,Very Low,Very Low
Truck 9994,Claim 620,Very Low,Very Low
Truck 10003,Claim 621,Very Low,Very Low
Truck 8980,Claim 622,Very Low,Very Low
Truck 16289,Claim 623,Very Low,Very Low
Truck 13844,Claim 624,Very Low,Very Low
Truck 28436,Claim 625,Very Low,Very Low
Truck 37652,Claim 626,Very Low,Very Low
Truck 6309,Claim 627,Very Low,Very Low
Truck 40267,Claim 628,Very Low,Very Low
Truck 35305,Claim 629,Very Low,Very Low
Truck 33368,Claim 630,Very Low,Very Low
Truck 46578,Claim 631,Very Low,Very Low
Truck 24746,Claim 632,Very Low,Very Low
Truck 38690,Claim 633,Very Low,Very Low
Truck 10431,Claim 634,Very Low,Very Low
Truck 4001,Claim 635,Very Low,Very Low
Truck 18965,Claim 636,Very Low,Very Low
Truck 30607,Claim 637,Very Low,Very Low
Truck 274,Claim 638,Very Low,Very Low
Truck 266,Claim 639,Very Low,Very Low
Truck 31980,Claim 640,Very Low,Very Low
Truck 42866,Claim 641,Very Low,Very Low
Truck 25420,Claim 642,Very Low,Very Low
Truck 35973,Claim 643,Very Low,Very Low
Truck 20893,Claim 644,Very Low,Very Low
Truck 41426,Claim 645,Very Low,Very Low
Truck 20896,Claim 646,Very Low,Very Low
Truck 27690,Claim 647,Very Low,Very Low
Truck 47610,Claim 648,Very Low,Very Low
Truck 23937,Claim 649,Very Low,Very Low
Truck 19731,Claim 650,Very Low,Very Low
Truck 13146,Claim 651,Very Low,Very Low
Truck 27244,Claim 652,Very Low,Very Low
Truck 2750,Claim 653,Very Low,Very Low
Truck 2745,Claim 654,Very Low,Very Low
Truck 2754,Claim 655,Very Low,Very Low
Truck 14550,Claim 656,Very Low,Very Low
Truck 17360,Claim 657,Very Low,Very Low
Truck 10,Claim 658,Very Low,Very Low
Truck 47640,Claim 659,Very Low,Very Low
Truck 11088,Claim 660,Very Low,Very Low
Truck 42912,Claim 661,Very Low,Very Low
Truck 18988,Claim 662,Very Low,Very Low
Truck 2875,Claim 663,Very Low,Very Low
Truck 43704,Claim 664,Very Low,Very Low
Truck 47563,Claim 665,Very Low,Very Low
Truck 11561,Claim 666,Very Low,Very Low
Truck 17589,Claim 667,Very Low,Very Low
Truck 8922,Claim 668,Very Low,Very Low
Truck 13139,Claim 669,Very Low,Very Low
Truck 27918,Claim 670,Very Low,Very Low
Truck 27918,Claim 671,Very Low,Very Low
Truck 31455,Claim 672,Very Low,Very Low
Truck 25434,Claim 673,Very Low,Very Low
Truck 26731,Claim 674,Very Low,Very Low
Truck 26742,Claim 675,Very Low,Very Low
Truck 18856,Claim 676,Very Low,Very Low
Truck 43512,Claim 677,Very Low,Very Low
Truck 1429,Claim 678,Very Low,Very Low
Truck 26769,Claim 679,Very Low,Very Low
Truck 44562,Claim 680,Very Low,Very Low
Truck 26775,Claim 681,Very Low,Very Low
Truck 41319,Claim 682,Very Low,Very Low
Truck 42810,Claim 683,Very Low,Very Low
Truck 32846,Claim 684,Very Low,Very Low
Truck 32786,Claim 685,Very Low,Very Low
Truck 32813,Claim 686,Very Low,Very Low
Truck 32804,Claim 687,Very Low,Very Low
Truck 32924,Claim 688,Very Low,Very Low
Truck 47458,Claim 689,Very Low,Very Low
Truck 2422,Claim 690,Very Low,Very Low
Truck 2325,Claim 691,Very Low,Very Low
Truck 38948,Claim 692,Very Low,Very Low
Truck 22022,Claim 693,Very Low,Very Low
Truck 23672,Claim 694,Very Low,Very Low
Truck 21753,Claim 695,Very Low,Very Low
Truck 17589,Claim 696,Very Low,Very Low
Truck 38874,Claim 697,Very Low,Very Low
Truck 38910,Claim 698,Very Low,Very Low
Truck 11410,Claim 699,Very Low,Very Low
Truck 39402,Claim 700,Very Low,Very Low
Truck 6580,Claim 701,Very Low,Very Low
Truck 31104,Claim 702,Very Low,Very Low
Truck 31104,Claim 703,Very Low,Very Low
Truck 45683,Claim 704,Very Low,Very Low
Truck 38968,Claim 705,Very Low,Very Low
Truck 47089,Claim 706,Very Low,Very Low
Truck 21942,Claim 707,Very Low,Very Low
Truck 10689,Claim 708,Very Low,Very Low
Truck 45580,Claim 709,Very Low,Very Low
Truck 45636,Claim 710,Very Low,Very Low
Truck 45566,Claim 711,Very Low,Very Low
Truck 45615,Claim 712,Very Low,Very Low
Truck 46164,Claim 713,Very Low,Very Low
Truck 45579,Claim 714,Very Low,Very Low
Truck 45530,Claim 715,Very Low,Very Low
Truck 45623,Claim 716,Very Low,Very Low
Truck 45552,Claim 717,Very Low,Very Low
Truck 45526,Claim 718,Very Low,Very Low
Truck 45608,Claim 719,Very Low,Very Low
Truck 45597,Claim 720,Very Low,Very Low
Truck 45639,Claim 721,Very Low,Very Low
Truck 45640,Claim 722,Very Low,Very Low
Truck 45637,Claim 723,Very Low,Very Low
Truck 45629,Claim 724,Very Low,Very Low
Truck 45641,Claim 725,Very Low,Very Low
Truck 45565,Claim 726,Very Low,Very Low
Truck 46166,Claim 727,Very Low,Very Low
Truck 45624,Claim 728,Very Low,Very Low
Truck 45560,Claim 729,Very Low,Very Low
Truck 45628,Claim 730,Very Low,Very Low
Truck 45609,Claim 731,Very Low,Very Low
Truck 46160,Claim 732,Very Low,Very Low
Truck 45617,Claim 733,Very Low,Very Low
Truck 45570,Claim 734,Very Low,Very Low
Truck 45644,Claim 735,Very Low,Very Low
Truck 45537,Claim 736,Very Low,Very Low
Truck 45569,Claim 737,Very Low,Very Low
Truck 45578,Claim 738,Very Low,Very Low
Truck 45522,Claim 739,Very Low,Very Low
Truck 45584,Claim 740,Very Low,Very Low
Truck 45542,Claim 741,Very Low,Very Low
Truck 45568,Claim 742,Very Low,Very Low
Truck 46162,Claim 743,Very Low,Very Low
Truck 45594,Claim 744,Very Low,Very Low
Truck 45572,Claim 745,Very Low,Very Low
Truck 45595,Claim 746,Very Low,Very Low
Truck 45531,Claim 747,Very Low,Very Low
Truck 45596,Claim 748,Very Low,Very Low
Truck 45613,Claim 749,Very Low,Very Low
Truck 14075,Claim 750,Very Low,Very Low
Truck 25714,Claim 751,Very Low,Very Low
Truck 39232,Claim 752,Very Low,Very Low
Truck 47385,Claim 753,Very Low,Very Low
Truck 47385,Claim 754,Very Low,Very Low
Truck 8992,Claim 755,Very Low,Very Low
Truck 10707,Claim 756,Very Low,Very Low
Truck 35409,Claim 757,Very Low,Very Low
Truck 45746,Claim 758,Very Low,Very Low
Truck 4180,Claim 759,Very Low,Very Low
Truck 21160,Claim 760,Very Low,Very Low
Truck 17395,Claim 761,Very Low,Very Low
Truck 32765,Claim 762,Very Low,Very Low
Truck 20211,Claim 763,Very Low,Very Low
Truck 40233,Claim 764,Very Low,Very Low
Truck 32761,Claim 765,Very Low,Very Low
Truck 45921,Claim 766,Very Low,Very Low
Truck 35484,Claim 767,Very Low,Very Low
Truck 32763,Claim 768,Very Low,Very Low
Truck 32764,Claim 769,Very Low,Very Low
Truck 917,Claim 770,Very Low,Very Low
Truck 5781,Claim 771,Very Low,Very Low
Truck 45751,Claim 772,Very Low,Very Low
Truck 45752,Claim 773,Very Low,Very Low
Truck 39559,Claim 774,Very Low,Very Low
Truck 4465,Claim 775,Very Low,Very Low
Truck 28413,Claim 776,Very Low,Very Low
Truck 44235,Claim 777,Very Low,Very Low
Truck 30486,Claim 778,Very Low,Very Low
Truck 47943,Claim 779,Very Low,Very Low
Truck 23693,Claim 780,Very Low,Very Low
Truck 25717,Claim 781,Very Low,Very Low
Truck 83,Claim 782,Very Low,Very Low
Truck 960,Claim 783,Very Low,Very Low
Truck 1457,Claim 784,Very Low,Very Low
Truck 24371,Claim 785,Very Low,Very Low
Truck 1958,Claim 786,Very Low,Very Low
Truck 22092,Claim 787,Very Low,Very Low
Truck 22074,Claim 788,Very Low,Very Low
Truck 22201,Claim 789,Very Low,Very Low
Truck 17959,Claim 790,Very Low,Very Low
Truck 9220,Claim 791,Very Low,Very Low
Truck 26548,Claim 792,Very Low,Very Low
Truck 44090,Claim 793,Very Low,Very Low
Truck 44045,Claim 794,Very Low,Very Low
Truck 2282,Claim 795,Very Low,Very Low
Truck 18654,Claim 796,Very Low,Very Low
Truck 46045,Claim 797,Very Low,Very Low
Truck 926,Claim 798,Very Low,Very Low
Truck 42080,Claim 799,Very Low,Very Low
Truck 46098,Claim 800,Very Low,Very Low
Truck 47170,Claim 801,Very Low,Very Low
Truck 41184,Claim 802,Very Low,Very Low
Truck 41184,Claim 803,Very Low,Very Low
Truck 17439,Claim 804,Very Low,Very Low
Truck 14071,Claim 805,Very Low,Very Low
Truck 37051,Claim 806,Very Low,Very Low
Truck 45423,Claim 807,Very Low,Very Low
Truck 46581,Claim 808,Very Low,Very Low
Truck 42547,Claim 809,Very Low,Very Low
Truck 20222,Claim 810,Very Low,Very Low
Truck 45921,Claim 811,Very Low,Very Low
Truck 48245,Claim 812,Very Low,Very Low
Truck 20995,Claim 813,Very Low,Very Low
Truck 41416,Claim 814,Very Low,Very Low
Truck 5606,Claim 815,Very Low,Very Low
Truck 29405,Claim 816,Very Low,Very Low
Truck 23697,Claim 817,Very Low,Very Low
Truck 36696,Claim 818,Very Low,Very Low
Truck 36646,Claim 819,Very Low,Very Low
Truck 19186,Claim 820,Very Low,Very Low
Truck 44980,Claim 821,Very Low,Very Low
Truck 35091,Claim 822,Very Low,Very Low
Truck 38290,Claim 823,Very Low,Very Low
Truck 32457,Claim 824,Very Low,Very Low
Truck 168,Claim 825,Very Low,Very Low
Truck 2522,Claim 826,Very Low,Very Low
Truck 37240,Claim 827,Very Low,Very Low
Truck 25441,Claim 828,Very Low,Very Low
Truck 18410,Claim 829,Very Low,Very Low
Truck 27047,Claim 830,Very Low,Very Low
Truck 47549,Claim 831,Very Low,Very Low
Truck 18288,Claim 832,Very Low,Very Low
Truck 35051,Claim 833,Very Low,Very Low
Truck 4874,Claim 834,Very Low,Very Low
Truck 43773,Claim 835,Very Low,Very Low
Truck 44634,Claim 836,Very Low,Very Low
Truck 650,Claim 837,Very Low,Very Low
Truck 44961,Claim 838,Very Low,Very Low
Truck 7779,Claim 839,Very Low,Very Low
Truck 24753,Claim 840,Very Low,Very Low
Truck 17720,Claim 841,Very Low,Very Low
Truck 20180,Claim 842,Very Low,Very Low
Truck 3764,Claim 843,Very Low,Very Low
Truck 4337,Claim 844,Very Low,Very Low
Truck 21206,Claim 845,Very Low,Very Low
Truck 22965,Claim 846,Very Low,Very Low
Truck 44665,Claim 847,Very Low,Very Low
Truck 23152,Claim 848,Very Low,Very Low
Truck 12246,Claim 849,Very Low,Very Low
Truck 35483,Claim 850,Very Low,Very Low
Truck 15725,Claim 851,Very Low,Very Low
Truck 43145,Claim 852,Very Low,Very Low
Truck 32178,Claim 853,Very Low,Very Low
Truck 41553,Claim 854,Very Low,Very Low
Truck 28099,Claim 855,Very Low,Very Low
Truck 13961,Claim 856,Very Low,Very Low
Truck 13858,Claim 857,Very Low,Very Low
Truck 43906,Claim 858,Very Low,Very Low
Truck 32182,Claim 859,Very Low,Very Low
Truck 918,Claim 860,Very Low,Very Low
Truck 918,Claim 861,Very Low,Very Low
Truck 8086,Claim 862,Very Low,Very Low
Truck 31100,Claim 863,Very Low,Very Low
Truck 20079,Claim 864,Very Low,Very Low
Truck 267,Claim 865,Very Low,Very Low
Truck 45344,Claim 866,Very Low,Very Low
Truck 39298,Claim 867,Very Low,Very Low
Truck 13127,Claim 868,Very Low,Very Low
Truck 28174,Claim 869,Very Low,Very Low
Truck 28177,Claim 870,Very Low,Very Low
Truck 34023,Claim 871,Very Low,Very Low
Truck 31502,Claim 872,Very Low,Very Low
Truck 13959,Claim 873,Very Low,Very Low
Truck 29674,Claim 874,Very Low,Very Low
Truck 9686,Claim 875,Very Low,Very Low
Truck 9685,Claim 876,Very Low,Very Low
Truck 21311,Claim 877,Very Low,Very Low
Truck 20191,Claim 878,Very Low,Very Low
Truck 32789,Claim 879,Very Low,Very Low
Truck 32828,Claim 880,Very Low,Very Low
Truck 17458,Claim 881,Very Low,Very Low
Truck 17458,Claim 882,Very Low,Very Low
Truck 2515,Claim 883,Very Low,Very Low
Truck 8129,Claim 884,Very Low,Very Low
Truck 9704,Claim 885,Very Low,Very Low
Truck 35482,Claim 886,Very Low,Very Low
Truck 20204,Claim 887,Very Low,Very Low
Truck 15393,Claim 888,Very Low,Very Low
Truck 38905,Claim 889,Very Low,Very Low
Truck 38736,Claim 890,Very Low,Very Low
Truck 4938,Claim 891,Very Low,Very Low
Truck 14687,Claim 892,Very Low,Very Low
Truck 43780,Claim 893,Very Low,Very Low
Truck 20195,Claim 894,Very Low,Very Low
Truck 9639,Claim 895,Very Low,Very Low
Truck 12824,Claim 896,Very Low,Very Low
Truck 3953,Claim 897,Very Low,Very Low
Truck 5805,Claim 898,Very Low,Very Low
Truck 25442,Claim 899,Very Low,Very Low
Truck 25441,Claim 900,Very Low,Very Low
Truck 7030,Claim 901,Very Low,Very Low
Truck 4349,Claim 902,Very Low,Very Low
Truck 3110,Claim 903,Very Low,Very Low
Truck 47975,Claim 904,Very Low,Very Low
Truck 7258,Claim 905,Very Low,Very Low
Truck 14011,Claim 906,Very Low,Very Low
Truck 7587,Claim 907,Very Low,Very Low
Truck 20249,Claim 908,Very Low,Very Low
Truck 38611,Claim 909,Very Low,Very Low
Truck 20188,Claim 910,Very Low,Very Low
Truck 9702,Claim 911,Very Low,Very Low
Truck 9691,Claim 912,Very Low,Very Low
Truck 10462,Claim 913,Very Low,Very Low
Truck 7505,Claim 914,Very Low,Very Low
Truck 14964,Claim 915,Very Low,Very Low
Truck 12415,Claim 916,Very Low,Very Low
Truck 29217,Claim 917,Very Low,Very Low
Truck 37630,Claim 918,Very Low,Very Low
Truck 1752,Claim 919,Very Low,Very Low
Truck 57,Claim 920,Very Low,Very Low
Truck 1563,Claim 921,Very Low,Very Low
Truck 1879,Claim 922,Very Low,Very Low
Truck 1715,Claim 923,Very Low,Very Low
Truck 1721,Claim 924,Very Low,Very Low
Truck 1753,Claim 925,Very Low,Very Low
Truck 1402,Claim 926,Very Low,Very Low
Truck 13877,Claim 927,Very Low,Very Low
Truck 6695,Claim 928,Very Low,Very Low
Truck 8326,Claim 929,Very Low,Very Low
Truck 9396,Claim 930,Very Low,Very Low
Truck 1187,Claim 931,Very Low,Very Low
Truck 15474,Claim 932,Very Low,Very Low
Truck 47874,Claim 933,Very Low,Very Low
Truck 34559,Claim 934,Very Low,Very Low
Truck 29116,Claim 935,Very Low,Very Low
Truck 47150,Claim 936,Very Low,Very Low
Truck 2716,Claim 937,Very Low,Very Low
Truck 2786,Claim 938,Very Low,Very Low
Truck 7669,Claim 939,Very Low,Very Low
Truck 31180,Claim 940,Very Low,Very Low
Truck 21104,Claim 941,Very Low,Very Low
Truck 6740,Claim 942,Very Low,Very Low
Truck 8006,Claim 943,Very Low,Very Low
Truck 44810,Claim 944,Very Low,Very Low
Truck 23682,Claim 945,Very Low,Very Low
Truck 13687,Claim 946,Very Low,Very Low
Truck 17830,Claim 947,Very Low,Very Low
Truck 22238,Claim 948,Very Low,Very Low
Truck 25283,Claim 949,Very Low,Very Low
Truck 46755,Claim 950,Very Low,Very Low
Truck 46733,Claim 951,Very Low,Very Low
Truck 29756,Claim 952,Very Low,Very Low
Truck 46749,Claim 953,Very Low,Very Low
Truck 48146,Claim 954,Very Low,Very Low
Truck 46753,Claim 955,Very Low,Very Low
Truck 43774,Claim 956,Very Low,Very Low
Truck 42981,Claim 957,Very Low,Very Low
Truck 32803,Claim 958,Very Low,Very Low
Truck 32801,Claim 959,Very Low,Very Low
Truck 32846,Claim 960,Very Low,Very Low
Truck 32922,Claim 961,Very Low,Very Low
Truck 32922,Claim 962,Very Low,Very Low
Truck 32910,Claim 963,Very Low,Very Low
Truck 32915,Claim 964,Very Low,Very Low
Truck 32895,Claim 965,Very Low,Very Low
Truck 32895,Claim 966,Very Low,Very Low
Truck 32852,Claim 967,Very Low,Very Low
Truck 32852,Claim 968,Very Low,Very Low
Truck 32782,Claim 969,Very Low,Very Low
Truck 32888,Claim 970,Very Low,Very Low
Truck 32781,Claim 971,Very Low,Very Low
Truck 32880,Claim 972,Very Low,Very Low
Truck 32883,Claim 973,Very Low,Very Low
Truck 32780,Claim 974,Very Low,Very Low
Truck 32783,Claim 975,Very Low,Very Low
Truck 32917,Claim 976,Very Low,Very Low
Truck 32768,Claim 977,Very Low,Very Low
Truck 18970,Claim 978,Very Low,Very Low
Truck 32916,Claim 979,Very Low,Very Low
Truck 32786,Claim 980,Very Low,Very Low
Truck 32770,Claim 981,Very Low,Very Low
Truck 18910,Claim 982,Very Low,Very Low
Truck 32865,Claim 983,Very Low,Very Low
Truck 32861,Claim 984,Very Low,Very Low
Truck 32861,Claim 985,Very Low,Very Low
Truck 32868,Claim 986,Very Low,Very Low
Truck 45829,Claim 987,Very Low,Very Low
Truck 32907,Claim 988,Very Low,Very Low
Truck 32813,Claim 989,Very Low,Very Low
Truck 32864,Claim 990,Very Low,Very Low
Truck 32814,Claim 991,Very Low,Very Low
Truck 32814,Claim 992,Very Low,Very Low
Truck 32814,Claim 993,Very Low,Very Low
Truck 32798,Claim 994,Very Low,Very Low
Truck 32825,Claim 995,Very Low,Very Low
Truck 32840,Claim 996,Very Low,Very Low
Truck 32845,Claim 997,Very Low,Very Low
Truck 32863,Claim 998,Very Low,Very Low
Truck 32899,Claim 999,Very Low,Very Low
Truck 32811,Claim 1000,Very Low,Very Low
Truck 1345,Claim 1001,Very Low,Very Low
Truck 32896,Claim 1002,Very Low,Very Low
Truck 32833,Claim 1003,Very Low,Very Low
Truck 32833,Claim 1004,Very Low,Very Low
Truck 32837,Claim 1005,Very Low,Very Low
Truck 32837,Claim 1006,Very Low,Very Low
Truck 32831,Claim 1007,Very Low,Very Low
Truck 32835,Claim 1008,Very Low,Very Low
Truck 32851,Claim 1009,Very Low,Very Low
Truck 32849,Claim 1010,Very Low,Very Low
Truck 32843,Claim 1011,Very Low,Very Low
Truck 32794,Claim 1012,Very Low,Very Low
Truck 32794,Claim 1013,Very Low,Very Low
Truck 32857,Claim 1014,Very Low,Very Low
Truck 32929,Claim 1015,Very Low,Very Low
Truck 32929,Claim 1016,Very Low,Very Low
Truck 32797,Claim 1017,Very Low,Very Low
Truck 32906,Claim 1018,Very Low,Very Low
Truck 32914,Claim 1019,Very Low,Very Low
Truck 32862,Claim 1020,Very Low,Very Low
Truck 32862,Claim 1021,Very Low,Very Low
Truck 32806,Claim 1022,Very Low,Very Low
Truck 32867,Claim 1023,Very Low,Very Low
Truck 32867,Claim 1024,Very Low,Very Low
Truck 32872,Claim 1025,Very Low,Very Low
Truck 32808,Claim 1026,Very Low,Very Low
Truck 32878,Claim 1027,Very Low,Very Low
Truck 32790,Claim 1028,Very Low,Very Low
Truck 32790,Claim 1029,Very Low,Very Low
Truck 32810,Claim 1030,Very Low,Very Low
Truck 32810,Claim 1031,Very Low,Very Low
Truck 27946,Claim 1032,Very Low,Very Low
Truck 563,Claim 1033,Very Low,Very Low
Truck 37657,Claim 1034,Very Low,Very Low
Truck 2472,Claim 1035,Very Low,Very Low
Truck 2514,Claim 1036,Very Low,Very Low
Truck 45631,Claim 1037,Very Low,Very Low
Truck 45614,Claim 1038,Very Low,Very Low
Truck 45643,Claim 1039,Very Low,Very Low
Truck 47325,Claim 1040,Very Low,Very Low
Truck 4199,Claim 1041,Very Low,Very Low
Truck 4199,Claim 1042,Very Low,Very Low
Truck 4302,Claim 1043,Very Low,Very Low
Truck 5668,Claim 1044,Very Low,Very Low
Truck 22984,Claim 1045,Very Low,Very Low
Truck 5628,Claim 1046,Very Low,Very Low
Truck 727,Claim 1047,Very Low,Very Low
Truck 32465,Claim 1048,Very Low,Very Low
Truck 8273,Claim 1049,Very Low,Very Low
Truck 33857,Claim 1050,Very Low,Very Low
Truck 17378,Claim 1051,Very Low,Very Low
Truck 42527,Claim 1052,Very Low,Very Low
Truck 23547,Claim 1053,Very Low,Very Low
Truck 2098,Claim 1054,Very Low,Very Low
Truck 28473,Claim 1055,Very Low,Very Low
Truck 32477,Claim 1056,Very Low,Very Low
Truck 2060,Claim 1057,Very Low,Very Low
Truck 23505,Claim 1058,Very Low,Very Low
Truck 38129,Claim 1059,Very Low,Very Low
Truck 21109,Claim 1060,Very Low,Very Low
Truck 21109,Claim 1061,Very Low,Very Low
Truck 21109,Claim 1062,Very Low,Very Low
Truck 21109,Claim 1063,Very Low,Very Low
Truck 22990,Claim 1064,Very Low,Very Low
Truck 22990,Claim 1065,Very Low,Very Low
Truck 6264,Claim 1066,Very Low,Very Low
Truck 43771,Claim 1067,Very Low,Very Low
Truck 25343,Claim 1068,Very Low,Very Low
Truck 33473,Claim 1069,Very Low,Very Low
Truck 19606,Claim 1070,Very Low,Very Low
Truck 1530,Claim 1071,Very Low,Very Low
Truck 19611,Claim 1072,Very Low,Very Low
Truck 34671,Claim 1073,Very Low,Very Low
Truck 34671,Claim 1074,Very Low,Very Low
Truck 1532,Claim 1075,Very Low,Very Low
Truck 27959,Claim 1076,Very Low,Very Low
Truck 25571,Claim 1077,Very Low,Very Low
Truck 27961,Claim 1078,Very Low,Very Low
Truck 1822,Claim 1079,Very Low,Very Low
Truck 2318,Claim 1080,Very Low,Very Low
Truck 39152,Claim 1081,Very Low,Very Low
Truck 24508,Claim 1082,Very Low,Very Low
Truck 3680,Claim 1083,Very Low,Very Low
Truck 12692,Claim 1084,Very Low,Very Low
Truck 46006,Claim 1085,Very Low,Very Low
Truck 34659,Claim 1086,Very Low,Very Low
Truck 7785,Claim 1087,Very Low,Very Low
Truck 45287,Claim 1088,Very Low,Very Low
Truck 8226,Claim 1089,Very Low,Very Low
Truck 20243,Claim 1090,Very Low,Very Low
Truck 14497,Claim 1091,Very Low,Very Low
Truck 21155,Claim 1092,Very Low,Very Low
Truck 10461,Claim 1093,Very Low,Very Low
Truck 15301,Claim 1094,Very Low,Very Low
Truck 15331,Claim 1095,Very Low,Very Low
Truck 31628,Claim 1096,Very Low,Very Low
Truck 15270,Claim 1097,Very Low,Very Low
Truck 15315,Claim 1098,Very Low,Very Low
Truck 15282,Claim 1099,Very Low,Very Low
Truck 15166,Claim 1100,Very Low,Very Low
Truck 23131,Claim 1101,Very Low,Very Low
Truck 31621,Claim 1102,Very Low,Very Low
Truck 31615,Claim 1103,Very Low,Very Low
